name,price,link
Brazil Santos | Single Origin,50.00,https://primalbrewcoffee.com/collections/single-origins/products/brazil-santos
"La Trinidad, Benguet | Single Origin",50.00,https://primalbrewcoffee.com/collections/single-origins/products/la-trinidad
"Atok, Benguet | Single Origin",50.00,https://primalbrewcoffee.com/collections/single-origins/products/atok-benguet
"Mt. Apo, Davao del Sur | Single Origin",50.00,https://primalbrewcoffee.com/collections/single-origins/products/mt-apo
Philippine Robusta | Single Origin,50.00,https://primalbrewcoffee.com/collections/single-origins/products/robusta
